Model,TBS1102C
Firmware Version,v1.29.30

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-3.1517e-03,-1.58328,0.727656
-3.1514e-03,-1.58719,0.721406
-3.1510e-03,-1.57891,0.7425
-3.1507e-03,-1.57609,0.7375
-3.1504e-03,-1.56344,0.718125
-3.1501e-03,-1.56781,0.75
-3.1498e-03,-1.56453,0.744688
-3.1494e-03,-1.55047,0.729531
-3.1491e-03,-1.54484,0.754375
-3.1488e-03,-1.53687,0.748281
-3.1485e-03,-1.54484,0.744844
-3.1482e-03,-1.53641,0.754375
-3.1478e-03,-1.53047,0.765781
-3.1475e-03,-1.52547,0.745469
-3.1472e-03,-1.51891,0.767969
-3.1469e-03,-1.52609,0.762813
-3.1466e-03,-1.51297,0.754219
-3.1462e-03,-1.51297,0.7825
-3.1459e-03,-1.49641,0.77375
-3.1456e-03,-1.49047,0.764687
-3.1453e-03,-1.48453,0.787344
-3.1450e-03,-1.4975,0.77375
-3.1446e-03,-1.48469,0.779531
-3.1443e-03,-1.47219,0.797969
-3.1440e-03,-1.47484,0.776563
-3.1437e-03,-1.46641,0.782188
-3.1434e-03,-1.45938,0.806563
-3.1430e-03,-1.46578,0.786875
-3.1427e-03,-1.4425,0.79375
-3.1424e-03,-1.44516,0.813438
-3.1421e-03,-1.44312,0.79
-3.1418e-03,-1.44656,0.81125
-3.1414e-03,-1.43391,0.82375
-3.1411e-03,-1.43188,0.806094
-3.1408e-03,-1.43672,0.824844
-3.1405e-03,-1.41922,0.841875
-3.1402e-03,-1.42141,0.81625
-3.1398e-03,-1.40688,0.83
-3.1395e-03,-1.40516,0.836406
-3.1392e-03,-1.39828,0.816875
-3.1389e-03,-1.39797,0.848438
-3.1386e-03,-1.39359,0.850625
-3.1382e-03,-1.38672,0.833281
-3.1379e-03,-1.39203,0.852187
-3.1376e-03,-1.37797,0.842969
